,user_id,song_id,listen_count,title,release,artist_name,year,song
7389,94d5bdc37683950e90c56c9b32721edb5d347600,SOXNZOW12AB017F756,2,Half Of My Heart,Battle Studies,John Mayer,0,Half Of My Heart - John Mayer
9275,1012ecfd277b96487ed8357d02fa8326b13696a5,SOXHYVQ12AB0187949,1,The Beautiful People,Antichrist Superstar (Ecopac Explicit),Marilyn Manson,0,The Beautiful People - Marilyn Manson
2995,15415fa2745b344bce958967c346f2a89f792f63,SOOSZAZ12A6D4FADF8,1,Sanctify Yourself,Glittering Prize 81/92,Simple Minds,1985,Sanctify Yourself - Simple Minds
5316,ffadf9297a99945c0513cd87939d91d8b602936b,SOWDJEJ12A8C1339FE,4,Heart Cooks Brain,Everything Is Nice: The Matador Records 10th Anniversary Anthology,Modest Mouse,1997,Heart Cooks Brain - Modest Mouse
356,5a905f000fc1ff3df7ca807d57edb608863db05d,SOAMPRJ12A8AE45F38,20,Rorol,Identification Parade,Octopus Project,2002,Rorol - Octopus Project
49,bd4c6e843f00bd476847fb75c47b4fb430a06856,SOHRQZQ12A6D4F81D2,1,Auto Rock,Mr. Beast,Mogwai,2006,Auto Rock - Mogwai
7931,9c4e14bbd043846b632d3737f08104dcaeb88142,SOUJVIT12A8C1451C1,4,Savior,Appeal To Reason,Rise Against,2008,Savior - Rise Against
1523,484b69dd013df1ec0cfd504886d4f647cb32b08f,SOMKKVT12AB0184CF1,2,Cuddle Fuddle,The Inbetweeners,Passion Pit,2007,Cuddle Fuddle - Passion Pit
7552,53ba380d234fd6022818340983570354ee207f6b,SOSYDQC12A8C13A68F,1,Holland_ 1945,In The Aeroplane Over The Sea,Neutral Milk Hotel,1998,Holland_ 1945 - Neutral Milk Hotel
496,5a905f000fc1ff3df7ca807d57edb608863db05d,SOJKAWG12A81C21781,6,The Battery,Oi Oi oi,Boys Noize,2007,The Battery - Boys Noize
5110,f608c215606e6421a429ea28ad08243241d5347d,SOFEOVT12A58A78DF3,1,It's Not My Time,3 Doors Down,3 Doors Down,2008,It's Not My Time - 3 Doors Down
1957,80aa05e1251892949df7c7b1f61b6ce8ffa27aec,SOPTLQL12AB018D56F,7,Billionaire [feat. Bruno Mars]  (Explicit Album Version),Billionaire [feat. Bruno Mars],Travie McCoy,0,Billionaire [feat. Bruno Mars]  (Explicit Album Version) - Travie McCoy
229,17aa9f6dbdf753831da8f38c71b66b64373de613,SOGKGXY12A8C134E30,1,Behave,Sings The Greys,Frightened Rabbit,0,Behave - Frightened Rabbit
1738,ca80fbb6d0deb3cae53763099e2cae7306f005ec,SONIANS12A6D4F93C3,2,Loving You [Album Version],These Streets,Paolo Nutini,2006,Loving You [Album Version] - Paolo Nutini
7789,fca15b7964a099b2860dfdb158a2430fb10c4384,SOKUPAO12AB018D576,1,The Only Exception (Album Version),The Only Exception,Paramore,0,The Only Exception (Album Version) - Paramore
7567,5aa89364746d7f350d35a403da8f397bd9d32b41,SOOBYJS12A6D4FAB2E,1,The Arms of Sorrow (Album Version),As Daylight Dies,Killswitch Engage,2006,The Arms of Sorrow (Album Version) - Killswitch Engage
4787,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOXQRDP12AB0184D02,4,Psyche,Heligoland,Massive Attack,2010,Psyche - Massive Attack
2607,7e2b716907a9a295d92c2f35d7e260aeee2b32cf,SOKUEJO12A6701F6CC,3,Eazy-Er Said Than Dunn,Eazy Duz It,Eazy-E,1988,Eazy-Er Said Than Dunn - Eazy-E
3784,884209a41deb55df792f074bccf8af1c1c31768b,SODUANR12A6D4F5036,1,Fast As I Can,Monday Morning Cold,Erin McKeown,2000,Fast As I Can - Erin McKeown
